country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Sri Lanka,,,0.598,0.667,1.05,1.13,1.21,,,,,3.24,3.09,2.17,0.557,0.685,1.53,2.31,1.49,2.08,1.86,0.949,1.03,1.02,0.915,0.992,0.908,0.836,0.843
St. Kitts and Nevis,,,,,,5.33,6.19,0.3,0.748,1.33,,0.177,0.64,0.218,0.066,0.704,0.0757,0.681,0.333,1.02,0.452,0.0226,1.3,0.123,,,,,
St. Lucia,,,,1.3,3.7,3.2,6.8,4.91,7.29,3.61,5.18,5.06,9.49,7.81,7.8,8.41,7.32,8.5,11.2,14.8,16.9,12.5,17,15.4,7.62,7.92,5.18,,5.92
St. Vincent and the Grenadines,,,,,,0.014,17.3,,0.0261,,,,0.00855,0.00424,0.00306,,,0.0536,0.0274,0.209,0.00707,0.773,0.156,0.00185,0.0584,,,8.33,
Suriname,,,,,,,0.0383,0.0253,0.426,0.221,0.585,0.205,8.17,6.35,10.7,10.9,8.01,13.7,6.22,8.7,5.46,13.9,12.1,6.5,23.7,13.2,20.7,,15.6
Swaziland,,,,,,,,,,,,,0.403,0.786,0.485,0.299,0.104,0.0765,0.134,0.116,,,,,,,,,
Sweden,12.3,12.7,12.9,13.3,13.3,13,12.8,16.4,17.9,19.4,19.8,21.5,22.8,17.4,18.2,16.3,17.4,16.9,16.1,11.5,11.2,12.9,13.7,13.4,13.4,14.1,13.9,14.3,14.3
Switzerland,16.1,15.8,15.6,15.5,15.9,15.6,15.8,17.1,17.8,18,19.3,21.8,22.2,23.1,24,24.7,24.4,24.2,23.9,23.3,24.4,26,25.3,24.9,25.8,26.5,26.4,26.8,27.1
Syria,,,,,,,,,,,,,4.9,0.406,0.621,0.8,1.03,2.08,0.805,1.27,1.81,1.56,1.34,,,,,,
Tajikistan,,,,,,,,,,,,,41.7,,,,,,,,,,,,,,,,
Tanzania,,,,,,,,,,0.18,3.45,5.92,1.17,1.59,0.741,1.41,0.821,1.11,0.564,1.5,1.53,3.04,3.48,5.4,10.2,5.42,2.74,0.76,2.02
Thailand,,19,20.9,20.8,22,20.7,23.7,24.5,29.2,30.8,34.4,32.4,33.4,31.5,30.8,30.3,28.1,26.7,27.4,26,24.6,25.3,24,20.7,20.5,20.1,20.4,21.4,21.5
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,9.78,,,
Togo,1.81,,,0.59,,,1.8,4.99,5.29,2.02,0.592,0.666,0.602,0.623,0.658,1.01,0.0265,0.0935,,0.058,0.0396,0.0765,0.0484,0.18,0.177,0.217,0.154,0.412,0.033
Tonga,,,,,,,,,,,,,,,,,,,,,,0.106,0.0388,0.0868,6.53,5.8,2.37,,
Trinidad and Tobago,,,,0.146,0.249,3.93,1.21,3.2,0.31,0.241,1.36,1.97,0.913,3.23,1.99,0.245,1.15,1.35,1.03,1.56,0.749,0.243,0.1,0.119,0.736,0.161,0.127,0.126,
Tunisia,,,2.12,1.85,1.64,2.84,1.54,1.61,1.64,1.65,2.06,2.7,3.43,3.31,3.71,3.81,5.02,4.51,6.68,5.42,4.54,4.1,4.89,5.6,4.69,4.94,5.49,6.33,6.07
Turkey,,1.75,1.21,1,1.18,1.34,1.66,1.21,1.61,2.14,2.18,4.14,4.83,3.87,1.79,1.93,1.9,1.47,1.85,1.89,1.62,1.74,1.93,1.84,1.83,1.88,1.94,2.16,2.03
Turkmenistan,,,,,,,,,,,0.00124,11.7,4.95,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,27.8,17.7,4.25,15,,,,,,,,,,,
Uganda,,,,,,,11,2.11,0.25,1.29,4.59,10.7,4.36,12.9,15.3,6.3,3.28,12.5,33.8,10.5,1.26,1.08,2.37,21.9,20.7,1.87,2.44,1.83,1.83
Ukraine,,,,,,,,,3.89,4.37,5.1,4.38,5.23,4.6,4.86,6.92,6.3,3.72,3.4,3.65,3.29,5.55,4.34,4.39,6.3,5.89,6.51,7.27,
United Arab Emirates,,,,0.0265,0.152,0.0316,,,,,,1.12,0.708,1.97,,,,1.87,,1.07,3.2,,,,3.71,3.18,8.46,,2.32
United Kingdom,24.7,25.2,23.6,24.7,23.6,26,25.7,27,26.7,27.1,28.7,29.9,32.4,34,31.6,26.2,24.5,28,33.9,18.7,18.5,20,21,21.4,21.7,21.9,20.6,20.8,21.8
United States,,32.2,32.5,32.4,32.6,31.5,31,30.3,30.8,31.7,33.2,34.3,33.7,32.6,31.7,30.7,32.8,32.7,30.1,27.2,25.9,21.5,20,18.1,17.8,17.8,18.2,19,20
Uruguay,,,,,,2.71,1.92,2.63,2.66,2.19,2.11,2.43,2.22,2.2,3.11,2.64,2.92,2.72,3.53,3.42,4.59,5.75,6.59,6.12,9.3,8.66,7.93,13.8,9.71
Vanuatu,,,19.8,12.7,,,4.94,,,,,,0.356,,,,,,7.66,2.02,,5.17,13.8,54,,,,,
Venezuela,,,3.94,1.49,2.2,2.57,2.39,2.72,2.52,2.55,2.6,3.02,2.89,3.38,3.43,4.22,2.44,2.3,2.41,,3.47,4.18,5.05,2.8,0.00133,1.13,,,
Vietnam,,,,,,,,,,0.136,0.102,0.174,11.1,8.51,5.86,5.57,4.48,5.36,6.22,8.95,4.79,6.21,8.61,14.5,20.5,28.2,26.9,,
Yemen,,,,,,,,,,,,,,0.00264,0.0109,0.521,0.259,0.239,0.51,0.382,0.275,0.374,0.357,0.316,0.216,0.356,1.21,4.7,
Zambia,,,,,,2.48,,2.16,2.05,25.1,4.02,1.11,0.316,0.137,0.401,0.505,0.756,1.09,1.87,2.95,2.54,1.5,0.955,24.8,4.96,2.37,1.7,5.27,
Zimbabwe,,,1.49,0.879,0.894,0.671,1.13,1.16,2.11,2.03,,1.95,1.76,0.602,2.71,,0.943,1.55,13.5,3.09,12.2,0.984,0.843,1.21,5.95,3.61,1.71,2.89,5.21
