country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
China,,,,,6.44,7.09,8.29,10.4,12.4,13.1,15.4,17.2,19,21,23.7,27.4,30.1,30.8,30.5,26.7,25.6,27.5,27.5,25.8,26.3,27,25.4,25.6,25.2
Colombia,,,,5.22,6.86,5.86,5.71,6.67,7.74,8.02,8.78,8.18,7.74,7.21,7.17,6.62,5.69,4.99,4.08,2.91,3.72,5.22,5.06,4.33,5.19,7.39,7.71,9.49,9.83
Comoros,,,,,,,,0.782,0.0914,4.73,1.15,,0.499,2.19,1.32,25.2,0.0764,0.0748,0.627,,1.69,9.28,0.257,5.17,0.321,0.118,,,
"Congo, Rep.",,,,,,5.05,16,12.8,,,,,,,,,,,,2.22,4.33,3.68,3.74,2.56,2.82,1.57,1.98,,
Costa Rica,,,,,,,5.67,6.2,4.2,13.2,43.7,63.4,51.7,36.4,36.6,44.8,35.7,38,44.7,45.4,39.4,44.2,40,40.8,39.6,43.3,36,16.8,18.3
Cote d'Ivoire,,,,,,,,2.8,1.92,5.99,4.46,7.65,2.87,3.26,2.4,3.81,13.2,11.6,14.2,12.7,11.9,8.23,2.17,15.1,8.52,1.34,3.72,4.79,
Croatia,,,,,5.5,4.91,5.23,6.12,7.63,9.56,7.86,8.28,8.68,10.3,12.2,12.2,13,11.4,9.85,8.21,8.35,9.76,9.15,7.56,9.91,10.2,8.43,8.98,11.6
Cuba,,,,,,,,,,,,23,21.4,29.6,34.6,17.3,11.8,18.3,35.3,,,,,,,,,,
Cyprus,,3.62,4.44,4.09,4.13,3.16,3.43,4.21,5.3,2.94,3.21,3.15,1.67,2.03,1.79,3.89,8.58,17,22.7,29.4,30.4,30.9,36.9,27.3,13,7.15,6.23,6.15,7.28
Czech Republic,,,,,,4.16,4.65,6.03,7.53,8.06,8.52,8.69,8.49,10.1,14.5,13.5,13.2,13,14.3,13.2,13.6,14.6,15.3,16.3,16.1,14.8,14.9,14.9,13.9
Denmark,13.5,14.6,15.5,15,14.8,15.2,16.8,16,16.9,18.4,18.2,20,21.4,20.8,22.5,20.2,20.3,19.6,18.4,17,15.6,17.5,13.9,13.7,14.2,14.3,14.4,16,15.7
Djibouti,,,,,,,,,,,,,,,,,,,,,,0.0816,,,,,,,
Dominica,,,,,,1.78,0.807,1.71,2.51,6.1,,4.36,6.53,6.39,7.69,7.22,7.9,7.48,7.74,6.18,0.449,,0.015,,8.83,,,,
Dominican Republic,,,,,,,,,0.259,0.329,,,,1.32,4.06,3.74,4.02,8.4,5.66,10.6,3.74,2.51,2.35,2.23,2.74,3.76,3.73,3.83,4.38
Ecuador,,,0.319,0.949,3.41,3.55,3.62,5.98,4.33,4.47,4.49,6.32,5.62,4.6,6.65,5.98,7.36,7.66,7.87,6.17,4.18,4.02,8.43,3.23,2.48,4.36,4.9,7.17,8.37
Egypt,,,,,,,0.408,0.535,0.644,0.274,0.222,0.266,0.31,0.903,0.777,0.533,0.577,0.403,0.554,0.19,0.971,0.836,0.876,0.952,0.584,0.518,1.31,0.783,0.487
El Salvador,,,,,,,6.97,7.61,7.93,7.73,7.78,6.57,3.48,4.65,5.48,5.12,4.4,4.36,4.45,4.57,4.29,5.1,5.79,5.59,4.75,4.44,4.76,4.39,4.62
Eritrea,,,,,,,,,,,,,,,,18.2,,,,,,,,,,,,,
Estonia,,,,,,,,6.2,8.85,9.13,11.7,13.5,29.9,19.3,11.9,12.7,14,14.7,12.6,5.8,5.4,5.68,9.27,13.4,10.8,10.5,11.4,11.4,10.3
Ethiopia,,,,,,,,0.318,,0.337,0.213,0.19,0.132,0.133,0.126,0.223,16.3,1.45,0.426,2.53,2.62,3.09,2.74,2.01,2.45,2.37,8.1,4,17.2
Fiji,,0.0507,11.6,0.785,9.54,0.903,0.95,,,,,,0.334,2.47,1.41,1.22,1.13,3.11,2.43,4.41,3.08,4.48,3.4,3.54,2.05,2.22,2.08,2.29,2.25
Finland,5.39,6.9,7.55,7.21,9.14,11.1,13.1,14.7,16.3,19.2,22,23.8,27.4,24.4,24.1,23.7,20.9,25.1,22.3,18,17.2,14,10.9,9.27,8.55,7.21,7.86,8.73,8.44
France,15.9,16,16.7,18.7,18.4,19.1,18.7,19.2,18.9,21.2,22.3,22.8,24.6,23.5,21.5,19.7,19.8,20.3,21.5,18.5,20,22.6,24.9,23.7,25.4,25.9,26.1,26.8,26.7
Gabon,,,,,,44.6,35.2,,27.3,25.4,39.8,39.9,8.35,4.5,7.96,4.02,13.8,10.9,32.1,18.2,17.4,3,,,,,,,
Gambia,,,,,,,,6.17,4.34,4.83,18.7,2.14,0.383,64.4,4.1,1.08,1.66,0.261,0.337,2.42,2.5,,0.646,4.24,0.179,7.32,,,1.25
Georgia,,,,,,,,,1.61,2.49,4.58,23.9,10.9,38.1,41.1,24.7,38.3,22.6,16.5,7.49,2.69,3.95,1.86,1.35,2.39,2.4,3.02,5.57,3.9
Germany,11.8,12.4,12,13.1,12.7,13.4,13.6,13.7,13.8,14.6,15.2,16.5,18.6,18.3,17.5,16.9,17.8,17.4,17.1,14,13.3,15.3,15.3,15,16,16.1,16,16.7,16.9
Ghana,,,,,2.19,,,,0.363,0.491,0.574,13.6,2.06,4.19,,7.38,,0.197,0.18,1.05,1.43,3.66,2,1.65,7.39,4.88,,,1.51
Greece,2.42,1.99,2.39,2.88,2.29,3.61,3.79,5.81,6.02,5.79,8.48,10.2,13.7,10.3,12,12.6,11.8,10.6,11,7.37,9.21,10.6,10.1,9.75,9.07,7.54,10.3,11,11.4
Grenada,,,,,,4.35,0.663,0.576,,3.2,36.1,0.0525,30.1,28.3,8.29,0.662,0.484,0.111,0.0247,39.6,11.1,,,,,,,,
Guatemala,,,,,,6.27,7.29,9.51,9.15,9.1,7.18,8.51,8.25,7.92,5.46,7.49,7.34,3.38,3.44,3.56,4.2,4.59,5.68,4.43,4.69,4.74,4.96,5.02,5.45
Guinea,,,,,,,,0.096,0.0657,0.0554,0.0738,0.00934,0.0941,0.328,0.00096,,0.283,0.219,0.127,0.251,0.118,,,,,2.18,4.86,0.957,
Guinea-Bissau,,,,,,,,,,,,,,,,,3.93,,,,,,,,,,,,
Guyana,,,,,,,,,,1.53,1.73,1.71,1.96,1.63,7.21,0.711,0.338,0.193,0.286,0.266,0.111,0.041,0.189,0.228,0.122,0.295,0.217,0.0607,0.178
Haiti,7.14,2.74,13.8,13.8,5.91,3.96,2.06,1.58,4.79,3.54,,,,,,,,,,,,,,,,,,,
